Name,Participations,Awards,Bronze,Gold,No medal,Silver
Robert Weyer,1,1,0,0,1,0
Robert Wheaton,2,2,0,0,2,0
Robert Whetters,2,2,0,0,2,0
Robert White,3,3,0,0,3,0
Robert Whitehead,1,1,0,0,1,0
Robert Whitehurst,1,1,0,0,1,0
Robert Wieland,1,1,0,0,1,0
Robert Wilkinson,2,2,0,0,2,0
Robert Will,1,1,0,1,0,0
Robert Williams,2,2,0,0,1,1
Robert Willis,1,1,0,0,1,0
Robert Wilmot,1,1,0,0,1,0
Robert Wilson,2,2,0,0,1,1
Robert Windle,8,8,2,1,4,1
Robert Wit,2,2,0,0,2,0
Robert Wolf,2,2,0,0,2,0
Robert Wolski,1,1,0,0,1,0
Robert Wood,1,1,0,0,1,0
Robert Woodhouse,4,4,1,0,3,0
Robert Woods,2,2,0,0,2,0
Robert Wyss,5,5,0,0,5,0
Robert Young,1,1,0,0,0,1
Robert Zagunis,1,1,0,0,1,0
Robert Zant,1,1,0,0,1,0
Robert Zawada,1,1,0,0,1,0
Robert Zedwane,1,1,0,0,1,0
Robert Zika,2,2,0,0,2,0
Robert Zimmerman,4,4,0,0,4,0
Robert Zmlk,2,2,0,1,1,0
Robert' Shavlaq'adze,2,2,0,1,1,0
Roberta Bianconi,3,3,0,0,2,1
Roberta Bonanomi,5,5,0,0,5,0
Roberta Brown,1,1,0,0,1,0
Roberta Brunet,4,4,1,0,3,0
Roberta Bruni,2,2,0,0,2,0
Roberta Core,1,1,0,0,1,0
Roberta Faccin,1,1,0,0,1,0
Roberta Farinelli,1,1,0,0,1,0
Roberta Felotti,5,5,0,0,5,0
Roberta Gentini,1,1,0,0,1,0
Roberta Lanzarotti,3,3,0,0,3,0
Roberta Lepper,1,1,0,0,1,0
Roberta Lucentini,1,1,0,0,1,0
Roberta Marletta,1,1,0,0,1,0
Roberta Panara,2,2,0,0,2,0
Roberta Pelosi,1,1,0,0,1,0
Roberta Vinci,8,8,0,0,8,0
Robertas Javtokas,3,3,0,0,3,0
Robertas Ulpa,2,2,0,1,1,0
Roberti Kobliashvili,2,2,0,0,2,0
Roberto (-mandje),1,1,0,0,1,0
Roberto (cerro-),1,1,0,0,0,1
Roberto Aboino,2,2,0,0,2,0
Roberto Abril,8,8,0,0,8,0
Roberto Acua,1,1,0,0,1,0
Roberto Agramonte,1,1,0,0,1,0
Roberto Aguiar,23,23,0,0,23,0
Roberto Agut,2,2,0,0,2,0
Roberto Alba,1,1,0,0,1,0
Roberto Alemany,8,8,0,0,8,0
Roberto Alentorn,2,2,0,0,2,0
Roberto Alfonso,3,3,0,0,3,0
Roberto Alva,1,1,0,0,1,0
Roberto Alvarado,1,1,1,0,0,0
Roberto Amadio,1,1,0,0,1,0
Roberto Amato,2,2,0,0,2,0
Roberto Amaya,1,1,0,0,1,0
Roberto Anderson,1,1,0,0,1,0
Roberto Andino,1,1,0,0,1,0
Roberto Arioldi,2,2,0,0,2,0
Roberto Ayala,2,2,0,1,0,1
Roberto Baronio,1,1,0,0,1,0
Roberto Battaglia,1,1,0,1,0,0
Roberto Benamati,1,1,0,0,1,0
Roberto Bianchi,1,1,0,0,1,0
Roberto Blanco,1,1,0,0,1,0
Roberto Blanda,2,2,0,0,2,0
Roberto Bolona,1,1,0,0,1,0
Roberto Bomprezzi,2,2,1,0,1,0
Roberto Bonanno,1,1,0,0,1,0
Roberto Borelli,1,1,0,0,1,0
Roberto Botella,1,1,0,0,1,0
Roberto Boutaud,1,1,0,0,1,0
Roberto Braa,1,1,0,0,1,0
Roberto Branco,1,1,0,0,1,0
Roberto Brito,1,1,0,0,1,0
Roberto Brunamonti,2,2,0,0,1,1
Roberto Buccione,1,1,0,0,1,0
Roberto Cabalisti,2,2,0,0,2,0
Roberto Cabriales,1,1,0,0,1,0
Roberto Calcaterra,3,3,1,0,2,0
Roberto Calovi,1,1,0,0,1,0
Roberto Cammarelle,3,3,1,1,0,1
Roberto Carballes,2,2,0,0,2,0
Roberto Carrasco,1,1,0,1,0,0
Roberto Cassio,1,1,0,0,1,0
Roberto Castelli,1,1,0,0,1,0
Roberto Castro,1,1,0,0,1,0
Roberto Ceruti,1,1,0,0,1,0
Roberto Cervantes,1,1,0,0,1,0
Roberto Chiacig,2,2,0,0,1,1
Roberto Chiappa,5,5,0,0,5,0
Roberto Chinoca,1,1,0,0,1,0
Roberto Colliard,1,1,0,0,1,0
Roberto Contreras,2,2,0,0,2,0
Roberto Cravero,1,1,0,0,1,0
Roberto Cruz,1,1,0,0,1,0
Roberto Cuadrado,1,1,0,0,1,0
Roberto Curcio,1,1,0,0,1,0
Roberto D'angelo,1,1,0,0,1,0
Roberto Dasso,1,1,0,0,1,0
Roberto Donna,7,7,1,1,5,0
Roberto Duenas,1,1,0,0,1,0
Roberto Duro,3,3,0,0,3,0
Roberto Durruty,2,2,0,0,2,0
Roberto Elie,1,1,0,0,1,0
Roberto Enes,1,1,0,0,1,0
Roberto Ferrari,6,6,1,1,3,1
Roberto Ferraris,4,4,1,0,3,0
Roberto Figueroa,2,2,0,1,1,0
Roberto Filgueira,1,1,0,0,1,0
Roberto Filho,3,3,0,0,3,0
Roberto Fischer,1,1,0,0,1,0
Roberto Franceschi,2,2,0,0,2,0
Roberto Franqueira,1,1,0,0,1,0
Roberto Friedrich,2,2,0,0,2,0
Roberto Furtado,1,1,0,0,1,0
Roberto Fusaro,1,1,0,0,1,0
Roberto Galia,1,1,0,0,1,0
Roberto Galli,8,8,0,0,8,0
Roberto Galmes,8,8,0,0,8,0
Roberto Gandolfi,1,1,0,0,1,0
Roberto Garca,8,8,1,0,7,0
Roberto Gazzei,1,1,0,0,1,0
Roberto Genta,1,1,0,0,1,0
Roberto Gleria,10,10,0,0,10,0
Roberto Gonzlez,7,7,0,0,6,1
Roberto Granados,6,6,0,0,6,0
Roberto H.,1,1,0,0,1,0
Roberto Haas,1,1,0,0,1,0
Roberto Hauser,1,1,0,0,1,0
Roberto Hearne,1,1,0,1,0,0
Roberto Herdez,3,3,0,0,3,0
Roberto Heredero,2,2,0,0,2,0
Roberto Hernndez,5,5,0,0,5,0
Roberto Hess,3,3,0,0,3,0
Roberto Ii,2,2,0,0,2,0
Roberto Jalnaiz,2,2,0,0,2,0
Roberto Jusa,1,1,0,0,1,0
Roberto Kurschner,3,3,0,0,3,0
Roberto Larraz,8,8,1,0,7,0
Roberto Lazzari,2,2,0,0,2,0
Roberto Lazzarini,4,4,0,0,4,0
Roberto Levis,1,1,0,0,1,0
Roberto Liberato,2,2,0,0,2,0
Roberto Lindeborg,1,1,0,0,1,0
Roberto Lopes,1,1,0,0,1,0
Roberto Lozano,1,1,0,0,1,0
Roberto Lpez,6,6,0,0,6,0
Roberto Lvarez,1,1,0,0,1,0
Roberto Macedo,1,1,0,0,1,0
Roberto Machusso,1,1,0,0,1,0
Roberto Maehler,1,1,0,0,1,0
Roberto Maggioni,1,1,0,0,1,0
Roberto Maldonado,1,1,0,0,1,0
Roberto Manzi,1,1,1,0,0,0
Roberto Marchi,1,1,0,0,1,0
Roberto Marques,1,1,0,0,1,0
Roberto Martillo,5,5,0,0,5,0
Roberto Martnez,3,3,0,0,3,0
Roberto Masciarelli,1,1,0,0,1,0
Roberto Mateo,1,1,0,0,1,0
Roberto Mazzoni,1,1,0,0,1,0
Roberto Meloni,3,3,0,0,3,0
Roberto Mendoza,1,1,0,0,1,0
Roberto Merino,1,1,0,0,1,0
Roberto Miranda,1,1,0,0,1,0
Roberto Mndez,1,1,0,1,0,0
Roberto Moll,2,2,0,0,2,0
Roberto Montano,1,1,0,0,1,0
Roberto Moscatelli,1,1,0,0,1,0
Roberto Mrquez,1,1,0,0,1,0
Roberto Muoz,2,2,0,0,2,0
Roberto Muzzi,1,1,0,0,1,0
Roberto Nardini,1,1,0,0,1,0
Roberto Negron,1,1,0,0,1,0
Roberto Nez,8,8,0,0,8,0
Roberto Oca,1,1,0,0,1,0
Roberto Ocasio,1,1,0,0,1,0
Roberto Orozco,6,6,0,0,6,0
Roberto Oscal,1,1,0,0,1,0
Roberto Oviedo,1,1,0,0,1,0
Roberto Pacheco,1,1,0,0,1,0
Roberto Pagnin,1,1,0,0,1,0
Roberto Pangaro,7,7,0,0,7,0
Roberto Paula,1,1,0,0,1,0
Roberto Pavoni,2,2,0,0,2,0
Roberto Pellandra,1,1,0,0,1,0
Roberto Pelliconi,1,1,0,0,1,0
Roberto Penna,1,1,0,0,1,0
Roberto Peper,1,1,0,0,1,0
Roberto Perfumo,1,1,0,0,1,0
Roberto Pistarini,2,2,0,0,2,0
Roberto Preda,2,2,0,0,2,0
Roberto Premier,1,1,0,0,1,0
Roberto Prendes,3,3,0,0,2,1
Roberto Prez,5,5,0,0,5,0
Roberto Prieto,1,1,0,0,1,0
Roberto Procel,1,1,0,0,1,0
Roberto Puzzilli,4,4,0,0,4,0
Roberto Ramrez,1,1,0,0,1,0
Roberto Reyes,1,1,0,0,1,0
Roberto Ribaud,1,1,0,0,1,0
Roberto Rigali,1,1,0,0,1,0
Roberto Rivas,1,1,0,0,1,0
Roberto Rivera,1,1,0,0,1,0
Roberto Rodrguez,5,5,0,0,5,0
Roberto Romero,3,3,0,0,3,0
Roberto Ros,1,1,0,0,1,0
Roberto Rosa,1,1,0,0,1,0
Roberto Rotatori,2,2,0,0,2,0
Roberto Roxas,1,1,0,0,1,0
Roberto Russo,1,1,0,0,1,0
Roberto Safoure,5,5,0,0,5,0
Roberto Salvador,1,1,0,0,1,0
Roberto Sanabria,1,1,0,0,1,0
Roberto Sanchez,1,1,0,0,1,0
Roberto Sandoval,2,2,1,0,1,0
Roberto Schmits,1,1,0,0,1,0
Roberto Sensini,1,1,0,0,0,1
Roberto Severo,1,1,0,0,1,0
Roberto Silva,1,1,1,0,0,0
Roberto Sinibaldi,1,1,0,0,1,0
Roberto Sloane,1,1,0,0,1,0
Roberto Snchez,5,5,0,0,5,0
Roberto Sokosoppi,6,6,0,0,6,0
Roberto Soundy,1,1,0,0,1,0
Roberto Souza,2,2,0,0,2,0
Roberto Sponza,1,1,0,0,1,0
Roberto Strauss,4,4,0,0,4,0
Roberto Surez,1,1,0,0,1,0
Roberto Tagle,4,4,0,0,4,0
Roberto Tamagnini,3,3,0,0,3,0
Roberto Teran,1,1,0,0,1,0
Roberto Terracini,1,1,0,0,1,0
Roberto Tomassini,1,1,0,0,1,0
Roberto Tozzi,3,3,1,0,2,0
Roberto Tricella,1,1,0,0,1,0
Roberto Vallejo,1,1,0,0,1,0
Roberto Vannozzi,1,1,0,0,1,0
Roberto Vargas,1,1,0,0,1,0
Roberto Veglia,1,1,0,0,1,0
Roberto Vencato,1,1,0,0,1,0
Roberto Vestrini,1,1,0,0,0,1
Roberto Vezzani,1,1,0,0,1,0
Roberto Vidal,2,2,1,0,1,0
Roberto Vigliano,1,1,0,0,1,0
Roberto Villagrn,1,1,0,0,1,0
Roberto Villanueva,1,1,0,1,0,0
Roberto Volpi,1,1,0,0,1,0
Roberto Yburan,1,1,0,0,1,0
Roberto Zubiria,2,2,0,0,2,0
Roberts Akmens,1,1,0,0,1,0
Roberts Ozols,1,1,0,0,1,0
Roberts Plme,3,3,0,0,3,0
Robertus Druppers,1,1,0,0,1,0
Robertus Eras,2,2,0,0,2,0
Robertus Slippens,5,5,0,0,5,0
Robertus Vonk,2,2,0,0,2,0
Robi Das,1,1,0,0,1,0
Robin (-bennett),1,1,0,0,1,0
Robin (-scholefield),2,2,1,0,1,0
Robin (byrd-),1,1,0,0,1,0
Robin Aggele,3,3,0,0,3,0
Robin Aisher,3,3,1,0,2,0
Robin Ayres,1,1,0,0,1,0
Robin Backhaus,1,1,1,0,0,0
Robin Bakker,1,1,0,0,1,0
Robin Baskerville,1,1,0,0,1,0
Robin Beauregard,2,2,1,0,0,1
Robin Bell,3,3,1,0,2,0
Robin Benzing,1,1,0,0,1,0
Robin Bourne-taylor,2,2,0,0,2,0
Robin Brew,1,1,0,0,1,0
Robin Cheong,2,2,0,0,2,0
Robin Croker,1,1,1,0,0,0
Robin D'abreo,1,1,0,0,1,0
Robin Dalglish,5,5,0,0,5,0
Robin Emig,1,1,0,0,1,0
Robin Erewa,1,1,0,0,1,0
Robin Fletcher,1,1,1,0,0,0
Robin Francis,2,2,0,0,2,0
Robin Froidevaux,3,3,0,0,3,0
Robin Garnham,1,1,0,0,1,0
Robin Godel,4,4,0,0,4,0
Robin Haase,6,6,0,0,6,0
Robin Hahn,6,6,0,0,6,0
Robin Hanson,5,5,0,0,5,0
Robin Helden,3,3,0,0,3,0
Robin Hendrix,1,1,0,0,1,0
Robin Hodder,1,1,1,0,0,0
Robin Jeffery,1,1,0,0,1,0
Robin Jeffreys,1,1,0,0,1,0
Robin Johnstone,1,1,0,0,0,1
Robin Jones,1,1,0,0,1,0
Robin Judah,1,1,0,0,1,0
Robin Kruijf,1,1,0,0,1,0
Robin Lavine,2,2,0,0,2,0
Robin Leamy,1,1,0,1,0,0
Robin Mackin,1,1,0,0,1,0
Robin Mccall,1,1,0,0,1,0
Robin Megraw,1,1,0,0,1,0
Robin Middleton,1,1,0,0,1,0
Robin Moffitt,1,1,0,0,1,0
Robin Muhr,2,2,0,0,2,0
Robin Neumann,2,2,0,0,2,0
Robin O'connor,1,1,0,0,1,0
Robin Pacek,2,2,0,0,2,0
Robin Prendes,2,2,0,0,2,0
Robin Quaison,1,1,0,0,1,0
Robin Ramaekers,1,1,0,0,1,0
Robin Randall,1,1,0,0,1,0
Robin Reed,1,1,0,1,0,0
Robin Reid,2,2,1,0,1,0
Robin Sampson,1,1,0,0,1,0
Robin Sderling,4,4,0,0,4,0
Robin Seidl,1,1,0,0,1,0
Robin Seymour,3,3,0,0,3,0
Robin Standing,1,1,0,0,1,0
Robin Tabeling,2,2,0,0,2,0
Robin Tait,2,2,0,0,2,0
Robin Tamplin,1,1,0,0,1,0
Robin Tattersall,2,2,0,0,2,0
Robin Toennesen,1,1,0,0,1,0
Robin Vanderbemden,1,1,0,0,1,0
Robin Walter,2,2,0,0,2,0
Robin Wilson,1,1,0,0,1,0
Robin Yarrow,1,1,0,0,1,0
Robina Yaar,2,2,0,0,2,0
Robinson Stewart,2,2,0,0,2,0
Robinson Tamara,1,1,0,0,1,0
Robinson Useche,1,1,0,0,1,0
Robison Hinton,1,1,0,0,1,0
Robleh Adou,3,3,0,0,3,0
Robosingho Thilakaratne,3,3,0,0,3,0
Robson Conceio,3,3,0,1,2,0
Robson Mrombe,1,1,0,0,1,0
Robustiano Echevarra,1,1,0,0,1,0
Robyn (-arlow),4,4,0,0,4,0
Robyn (-hocking),1,1,0,0,1,0
Robyn (-matthews),1,1,0,0,1,0
Robyn (-risson-nock),2,2,0,0,1,1
Robyn (-sillitoe),1,1,0,0,1,0
Robyn (fernley-),1,1,0,0,1,0
Robyn (gull-),3,3,1,0,2,0
Robyn (ormsby-),1,1,0,0,1,0
Robyn (strong-),1,1,0,0,1,0
Robyn Forbes,1,1,0,0,1,0
Robyn Gayle,2,2,1,0,1,0
Robyn Grey-gardner,1,1,1,0,0,0
Robyn Groot,1,1,0,0,1,0
Robyn Johnson,1,1,0,0,1,0
Robyn Lamsam,4,4,0,0,4,0
Robyn Meagher,2,2,0,0,2,0
Robyn Mow-santos,3,3,0,0,2,1
Robyn Nelson-),3,3,0,0,3,0
Robyn Nicholls,1,1,0,0,1,0
Robyn Nus,4,4,0,0,4,0
Robyn Smith,1,1,0,0,1,0
Robyn Stevens,1,1,0,0,1,0
Robyn Wong,1,1,0,0,1,0
Robyn Young,1,1,0,0,1,0
Roc Isern,3,3,0,0,2,1
Roc Oliva,1,1,0,0,1,0
Rocael Bitron,1,1,0,0,1,0
Rocco Amboni,7,7,0,0,7,0
Rocco Gattellari,1,1,0,0,1,0
Rocco Pecoraro,1,1,0,0,1,0
Rocco Rooyen,1,1,0,0,1,0
Rocco Spinola,1,1,0,0,1,0
Rocco Travella,2,2,0,0,2,0
Rochele Nunes,2,2,0,0,2,0
Rochelle (-yoakley),1,1,0,0,1,0
Rochelle Low,1,1,0,0,1,0
Rochelle Stevens,3,3,0,1,1,1
Rochelle Thomas,1,1,0,0,1,0
Rocio Sanchez,2,2,1,0,0,1
Rocio Trappe,1,1,0,0,1,0
Rock Allen,1,1,0,0,1,0
Roco Campigli,1,1,0,0,1,0
Roco Florido,1,1,0,0,1,0
Roco Moccia,2,2,0,0,1,1
Roco Sanchs,2,2,0,0,2,0
Roco Sierra,1,1,0,0,1,0
Roco Solaun,3,3,0,0,3,0
Rod Owen-jones,1,1,0,0,1,0
Roda Njobvu,2,2,0,0,2,0
Roda Wais,1,1,0,0,1,0
Roderic Highden,2,2,0,0,2,0
Roderic O'connor,1,1,0,0,1,0
Roderich Fick,1,1,0,0,1,0
Roderick Chase,2,2,0,0,2,0
Roderick Chisholm,2,2,0,0,2,0
Roderick Davis,4,4,0,1,2,1
Roderick Dean,1,1,0,0,1,0
Roderick Douglas,1,1,0,0,1,0
Roderick Gavin,2,2,0,0,2,0
Roderick Jones,1,1,0,0,1,0
Roderick Jr.,1,1,0,0,1,0
Roderick Macmillan,1,1,0,0,1,0
Roderick Milne,1,1,0,0,1,0
Roderick Rijnders,1,1,0,0,0,1
Roderick Steele,1,1,0,0,1,0
Roderick Weusthof,2,2,0,0,1,1
Rodger Doner,1,1,0,0,1,0
Rodgers Kwemoi,1,1,0,0,1,0
Rodica (-kszegi),6,6,0,0,5,1
Rodica (petrescu-),1,1,0,0,1,0
Rodica Arba-pucatu,4,4,1,2,0,1
Rodica Florea-erban,2,2,1,1,0,0
Rodica Frntu,1,1,1,0,0,0
Rodion Davelaar,1,1,0,0,1,0
Rodion Gataullin,1,1,0,0,0,1
Rodion Luka,4,4,0,0,3,1
Rodman Capon,1,1,0,0,1,0
Rodman Teltull,2,2,0,0,2,0
Rodman Wanamaker,1,1,0,0,0,1
Rodney Bell,1,1,0,0,1,0
Rodney Boll,1,1,0,0,1,0
Rodney Brown,2,2,0,0,2,0
Rodney Buizen,2,2,0,0,1,1
Rodney Colwell,2,2,0,0,2,0
Rodney Craig,3,3,0,0,3,0
Rodney Davies,1,1,0,0,1,0
Rodney Dehaven,1,1,0,0,1,0
Rodney Dixon,3,3,1,0,2,0
Rodney Fox,1,1,0,0,1,0
Rodney Govinden,2,2,0,0,2,0
Rodney Johnson,3,3,0,0,3,0
Rodney Jr.,1,1,0,1,0,0
Rodney Langkan,1,1,0,0,1,0
Rodney Lawson,1,1,0,0,1,0
Rodney Mapstone,2,2,0,0,2,0
Rodney Martin,1,1,0,0,1,0
Rodney Mclain,2,2,0,0,2,0
Rodney Oshita,2,2,0,0,2,0
Rodney Pattisson,3,3,0,2,0,1
Rodney Reader,1,1,0,0,1,0
Rodney Smith,2,2,1,0,1,0
Rodney Strachan,1,1,0,1,0,0
Rodney Thomson,1,1,0,0,1,0
Rodney Tudor-cole,1,1,0,0,1,0
Rodney Wagner,2,2,0,0,2,0
Rodney White,4,4,1,1,2,0
Rodney Wilkes,3,3,1,0,1,1
Rodney Woods,1,1,0,0,1,0
Rodnomyn Erkhembayar,1,1,0,0,1,0
Rodobaldo Arrambarry,2,2,0,0,2,0
Rodolfo Arpon,2,2,0,0,2,0
Rodolfo Arvalo,2,2,0,0,2,0
Rodolfo Baldi,1,1,0,0,1,0
Rodolfo Bergamo,1,1,0,0,1,0
Rodolfo Braselli,1,1,0,0,1,0
Rodolfo Bravo,2,2,0,0,1,1
Rodolfo Brupbacher,1,1,0,0,1,0
Rodolfo Cabrera,6,6,0,0,5,1
Rodolfo Cano,1,1,0,0,1,0
Rodolfo Carvajal,1,1,0,0,1,0
Rodolfo Cesaris,1,1,0,0,1,0
Rodolfo Cifuentes,2,2,0,0,2,0
Rodolfo Crdenas,1,1,0,0,1,0
Rodolfo Crespo,1,1,0,0,1,0
Rodolfo Culn,3,3,0,0,3,0
Rodolfo Daz,2,2,0,0,2,0
Rodolfo Falcon,1,1,0,0,1,0
Rodolfo Farrs,4,4,1,0,1,2
Rodolfo Garca,2,2,0,0,2,0
Rodolfo Garza,1,1,0,0,1,0
Rodolfo Gentile,2,2,0,0,2,0
Rodolfo Giovenzana,1,1,0,0,1,0
Rodolfo Gmez,2,2,0,0,2,0
Rodolfo Grazzini,2,2,0,0,2,0
Rodolfo Guarnieri,1,1,0,0,1,0
Rodolfo Guaves,2,2,0,0,2,0
Rodolfo Hempel,2,2,0,0,2,0
Rodolfo Irizarri,1,1,1,0,0,0
Rodolfo Loza,1,1,0,0,1,0
Rodolfo Luzardo,2,2,0,0,2,0
Rodolfo Mercado,2,2,0,0,2,0
Rodolfo Ordez,1,1,0,0,1,0
Rodolfo Orlandini,1,1,0,0,0,1
Rodolfo Orozco,6,6,0,0,6,0
Rodolfo Padron,1,1,0,0,1,0
Rodolfo Paniagua,1,1,0,0,1,0
Rodolfo Pereira,1,1,0,0,1,0
Rodolfo Ponte,1,1,0,0,1,0
Rodolfo Prez,1,1,0,0,1,0
Rodolfo Rambozzi,1,1,0,0,1,0
Rodolfo Raygoza,1,1,0,0,1,0
Rodolfo Rincn,1,1,0,0,1,0
Rodolfo Rombaldoni,1,1,0,0,0,1
Rodolfo Ros,1,1,0,0,1,0
Rodolfo Santos,1,1,0,0,1,0
Rodolfo Schefelis,1,1,0,0,1,0
Rodolfo Snchez,2,2,0,0,2,0
Rodolfo Terlizzi,3,3,0,1,1,1
Rodolfo Thomas,1,1,0,0,1,0
Rodolfo Torres,3,3,0,0,3,0
Rodolfo Tourn,3,3,0,0,3,0
Rodolfo Valenzuela,4,4,0,0,4,0
Rodolfo Vargas,1,1,0,0,1,0
Rodolfo Vigan,1,1,0,0,1,0
Rodolfo Vzquez,1,1,0,0,1,0
Rodolfos Alexakos,2,2,0,0,2,0
Rodolphe Dub,1,1,0,0,1,0
Rodolphe Hnault,2,2,0,0,2,0
Rodolphe Kugeler,1,1,0,0,1,0
Rodolphe Poma,1,1,0,0,0,1
Rodolphe Scherer,2,2,0,0,2,0
Rodolpho Rath,1,1,0,0,1,0
Rodrick Ndongala,1,1,0,0,1,0
Rodrigo Abasolo,1,1,0,0,1,0
Rodrigo Alarcn,1,1,0,0,1,0
Rodrigo Amado,1,1,0,0,1,0
Rodrigo Aramburu,2,2,0,0,2,0
Rodrigo Barbero,3,3,0,0,2,1
Rodrigo Barreiro,1,1,0,0,1,0
Rodrigo Bastos,2,2,0,0,2,0
Rodrigo Bertinotti,1,1,1,0,0,0
Rodrigo Carrasco,2,2,0,0,2,0
Rodrigo Carrillo,1,1,0,0,1,0
Rodrigo Castillo,4,4,0,0,4,0
Rodrigo Castro,8,8,0,0,8,0
Rodrigo Conde,1,1,0,0,1,0
Rodrigo Corrales,2,2,2,0,0,0
Rodrigo Cunha,1,1,0,1,0,0
Rodrigo Daz,1,1,0,0,1,0
Rodrigo Do,2,2,0,0,2,0
Rodrigo Duarte,2,2,0,0,2,0
Rodrigo Etchart,2,2,1,0,1,0
Rodrigo Faustino,1,1,0,0,1,0
Rodrigo Forero,1,1,0,0,1,0
Rodrigo Frutos,1,1,0,0,1,0
Rodrigo Germade,3,3,1,0,1,1
Rodrigo Gonzlez,1,1,0,0,1,0
Rodrigo Hoffelder,2,2,0,0,2,0
Rodrigo Isgro,2,2,1,0,1,0
Rodrigo Junior,1,1,0,0,1,0
Rodrigo Lpez,2,2,0,0,2,0
Rodrigo Machado,1,1,0,0,1,0
Rodrigo Marte,1,1,0,0,1,0
Rodrigo Morgado,2,2,0,0,2,0
Rodrigo Munar,1,1,0,0,1,0
Rodrigo Ortiz,1,1,1,0,0,0
Rodrigo Pereira,1,1,0,0,1,0
Rodrigo Pessoa,14,14,2,1,11,0
Rodrigo Quiroga,1,1,0,0,1,0
Rodrigo Rodrguez,1,1,0,0,1,0
Rodrigo Rosario,3,3,0,0,3,0
Rodrigo Russo,1,1,0,1,0,0
Rodrigo Santana,3,3,0,1,0,2
Rodrigo Sesma,10,10,0,0,10,0
Rodrigo Silva,1,1,0,0,1,0
Rodrigo Silveira,2,2,0,0,2,0
Rodrigo Soto,2,2,0,0,2,0
Rodrigo Torres,2,2,0,0,2,0
Rodrigo Valenzuela,1,1,1,0,0,0
Rodrigo Vila,3,3,0,0,3,0
Rodrigo Zuazola,2,2,0,0,2,0
Rodrigue Boucka,1,1,0,0,1,0
Rodrigue Kwizera,1,1,0,0,1,0
Roel Bovendeert,1,1,0,0,1,0
Roel Braas,2,2,0,0,2,0
Roel Koolen,1,1,0,0,1,0
Roel Paulissen,4,4,0,0,4,0
Roel Velasco,1,1,1,0,0,0
Roela Radiniyavuni,1,1,1,0,0,0
Roeland Lievens,1,1,0,0,1,0
Roelof Dednam,1,1,0,0,1,0
Roelof Hommema,1,1,0,0,1,0
Roelof Hordijk,1,1,0,0,1,0
Roelof Klein,2,2,1,1,0,0
Roelof Lennep,2,2,0,0,2,0
Roelof Luynenburg,2,2,1,0,1,0
Roelof Meulen,2,2,0,1,0,1
Roelof Vermeulen,1,1,0,0,1,0
Rogail Joseph,1,1,0,0,1,0
Rogan Clarke,1,1,0,0,1,0
Rogel Nachum,3,3,0,0,3,0
Rogelia Garca,1,1,0,0,1,0
Rogelio Aval,1,1,0,0,1,0
Rogelio Domenech,1,1,0,0,1,0
Rogelio E.,1,1,0,0,1,0
Rogelio Famatid,2,2,0,0,2,0
Rogelio Garca,1,1,0,1,0,0
Rogelio Martnez,2,2,0,0,2,0
Rogelio Melencio,2,2,0,0,2,0
Rogelio Muoz,2,2,0,0,2,0
Rogelio Onofre,6,6,0,0,6,0
Rogelio Pazquez,1,1,0,0,1,0
Rogelio Reyes,1,1,0,0,1,0
Rogelio Rojas,15,15,0,0,15,0
Rogelio Romero,1,1,0,0,1,0
Rogelio Vaquera,1,1,0,0,1,0
Rogelio Weatherbee,1,1,0,0,1,0
Rogen Ladon,1,1,0,0,1,0
Roger (wood-),2,2,0,0,2,0
Roger Abel,6,6,0,0,6,0
Roger Achten,4,4,0,0,4,0
Roger Anciaux,1,1,0,0,1,0
Roger Antoine,2,2,0,0,2,0
Roger Baker,2,2,0,0,2,0
Roger Bannister,1,1,0,0,1,0
Roger Barisien,1,1,0,0,1,0
Roger Beaufrand,1,1,0,1,0,0
Roger Behm,1,1,0,0,1,0
Roger Beukelaer,1,1,0,0,1,0
Roger Bielle,4,4,0,0,4,0
Roger Bignon,1,1,0,0,1,0
Roger Birrer,1,1,0,0,1,0
Roger Black,4,4,1,0,1,2
Roger Bofferding,2,2,0,0,2,0
Roger Bras,1,1,0,0,1,0
Roger Brousse,1,1,0,0,1,0
Roger Brown,2,2,0,0,2,0
Roger Burnham,1,1,0,0,1,0
Roger Calvo,1,1,0,0,1,0
Roger Capelle,1,1,0,0,1,0
Roger Capey,1,1,0,0,1,0
Roger Caron,1,1,0,0,1,0
Roger Casteele,1,1,0,0,1,0
Roger Caumo,2,2,0,0,2,0
Roger Chassat,2,2,0,0,2,0
Roger Chatelain,2,2,0,0,2,0
Roger Chesneau,1,1,0,0,1,0
Roger Closset,2,2,0,0,1,1
Roger Colliot,1,1,0,0,1,0
Roger Colman,1,1,0,0,1,0
Roger Compte,1,1,0,0,1,0
Roger Cornforth,1,1,0,0,1,0
Roger Crezen,1,1,0,0,1,0
Roger Cuche,1,1,0,0,1,0
Roger Cuzol,1,1,0,0,1,0
Roger D'emas,4,4,1,0,3,0
Roger Dahi,2,2,0,0,2,0
Roger Daniel,5,5,0,0,5,0
Roger Delgado,1,1,0,0,1,0
Roger Delrue,3,3,0,0,3,0
Roger Dewasch,1,1,0,0,1,0
Roger Dion,8,8,0,0,8,0
Roger Domenjoz,1,1,0,0,1,0
Roger Ducret,12,12,1,3,4,4
Roger Duthil,1,1,0,0,1,0
Roger Federer,7,7,0,1,5,1
